basename,local_file_count,branch_count,branches,distinct_md5_count,paths
848__M_00019.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00019.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00019.jpg"
848__M_00020.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00020.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00020.jpg"
848__M_00021.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00021.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00021.jpg"
848__M_00022.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00022.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00022.jpg"
848__M_00023.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00023.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00023.jpg"
848__M_00024.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00024.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00024.jpg"
848__M_00025.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00025.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00025.jpg"
848__M_00026.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00026.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00026.jpg"
848__M_00027.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00027.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00027.jpg"
848__M_00028.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00028.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00028.jpg"
848__M_00029.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00029.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00029.jpg"
848__M_00030.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00030.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00030.jpg"
